ATTRIBUTE_ID,ATTRIBUTE_NAME,RANGE_INDICATOR,MULTIPLE_VALUE,ALLOW_DEFAULTS,INHERIT_VALUES,MAXIMUM_LENGTH,del_ind
ACC_CAT,Account Assignment Category,1,1,0,0,9,0
AS_SET,Asset,1,1,0,0,11,0
CALENDAR_ID,CALENDAR CONFIGURATION,1,1,1,1,14,0
CAT_ID,CATALOG ID,1,1,1,1,20,0
CO_CODE,COMPANY CODE,1,1,1,1,15,0
CT_CTR,COST CENTER,1,1,1,1,16,0
DEF_DOC_SEARCH,DEFAULT DOCUMENT SEARCH,1,1,1,1,35,0
DEL_ADDR,DELIVERY ADDRESS,1,1,1,1,10,0
FC_TRANS_TYPE,FAVORITE TRANSACTION TYPE,1,1,1,1,10,0
GL_ACC,GL ACCT,1,1,1,1,15,0
INT_ORD,INTERNAL ORDER,1,1,1,1,5,0
INV_ADDR,INVOICE RECIPIENT ADDRESS,1,1,1,1,10,0
PO_TRANS_TYPE,PO TRANSACTION TYPE,1,1,1,1,10,0
RESP_PROD_CAT,RESPONSIBILITY PRODUCT CATEGORIES,1,1,1,1,31,0
SC_TRANS_TYPE,SC TRANSACTION TYPE,1,1,1,1,10,0
SOBO,Shop On Behalf Of,0,0,1,1,1,0
US_ROLE,USER ROLE,1,1,1,1,30,0
WBS_ELEM,WBS ELEMENT,1,1,1,1,35,0
